ぜんこくNo.,名前,名前(フォルム),英語名,タイプ1,タイプ2,HP,攻撃,防御,特攻,特防,素早さ,とくせい1,とくせい2,夢特性
39,プリン,プリン,Jigglypuff,ノーマル,フェアリー,115,45,20,45,25,20,メロメロボディ,かちき,*フレンドガード
40,プクリン,プクリン,Wigglytuff,ノーマル,フェアリー,140,70,45,85,50,45,メロメロボディ,かちき,*おみとおし
41,ズバット,ズバット,Zubat,どく,ひこう,40,45,35,30,40,55,せいしんりょく,,*すりぬけ
42,ゴルバット,ゴルバット,Golbat,どく,ひこう,75,80,70,65,75,90,せいしんりょく,,*すりぬけ
46,パラス,パラス,Paras,むし,くさ,35,70,55,45,55,25,ほうし,かんそうはだ,*しめりけ
47,パラセクト,パラセクト,Parasect,むし,くさ,60,95,80,60,80,30,ほうし,かんそうはだ,*しめりけ
48,コンパン,コンパン,Venonat,むし,どく,60,55,50,40,55,45,ふくがん,いろめがね,*にげあし
49,モルフォン,モルフォン,Venomoth,むし,どく,70,65,60,90,75,90,りんぷん,いろめがね,*ミラクルスキン
54,コダック,コダック,Psyduck,みず,,50,52,48,65,50,55,しめりけ,ノーてんき,*すいすい
55,ゴルダック,ゴルダック,Golduck,みず,,80,82,78,95,80,85,しめりけ,ノーてんき,*すいすい
56,マンキー,マンキー,Mankey,かくとう,,40,80,35,35,45,70,やるき,いかりのつぼ,*まけんき
57,オコリザル,オコリザル,Primeape,かくとう,,65,105,60,60,70,95,やるき,いかりのつぼ,*まけんき
60,ニョロモ,ニョロモ,Poliwag,みず,,40,50,40,40,40,90,ちょすい,しめりけ,*すいすい
61,ニョロゾ,ニョロゾ,Poliwhirl,みず,,65,65,65,50,50,90,ちょすい,しめりけ,*すいすい
62,ニョロボン,ニョロボン,Poliwrath,みず,かくとう,90,95,95,70,90,70,ちょすい,しめりけ,*すいすい
63,ケーシィ,ケーシィ,Abra,エスパー,,25,20,15,105,55,90,シンクロ,せいしんりょく,*マジックガード
64,ユンゲラー,ユンゲラー,Kadabra,エスパー,,40,35,30,120,70,105,シンクロ,せいしんりょく,*マジックガード
65,フーディン,フーディン,Alakazam,エスパー,,55,50,45,135,95,120,シンクロ,せいしんりょく,*マジックガード
69,マダツボミ,マダツボミ,Bellsprout,くさ,どく,50,75,35,70,30,40,ようりょくそ,,*くいしんぼう
70,ウツドン,ウツドン,Weepinbell,くさ,どく,65,90,50,85,45,55,ようりょくそ,,*くいしんぼう
71,ウツボット,ウツボット,Victreebel,くさ,どく,80,105,65,100,70,70,ようりょくそ,,*くいしんぼう
72,メノクラゲ,メノクラゲ,Tentacool,みず,どく,40,40,35,50,100,70,クリアボディ,ヘドロえき,*あめうけざら
73,ドククラゲ,ドククラゲ,Tentacruel,みず,どく,80,70,65,80,120,100,クリアボディ,ヘドロえき,*あめうけざら
74,イシツブテ,イシツブテ(通常),Geodude,いわ,じめん,40,80,100,30,30,20,いしあたま,がんじょう,*すながくれ
74,イシツブテ,イシツブテ(アローラのすがた),Geodude,いわ,でんき,40,80,100,30,30,20,じりょく,がんじょう,*エレキスキン
75,ゴローン,ゴローン(通常),Graveler,いわ,じめん,55,95,115,45,45,35,いしあたま,がんじょう,*すながくれ
75,ゴローン,ゴローン(アローラのすがた),Graveler,いわ,でんき,55,95,115,45,45,35,じりょく,がんじょう,*エレキスキン
76,ゴローニャ,ゴローニャ(通常),Golem,いわ,じめん,80,120,130,55,65,45,いしあたま,がんじょう,*すながくれ
76,ゴローニャ,ゴローニャ(アローラのすがた),Golem,いわ,でんき,80,120,130,55,65,45,じりょく,がんじょう,*エレキスキン
77,ポニータ,ポニータ(通常),Ponyta,ほのお,,50,85,55,65,65,90,にげあし,もらいび,*ほのおのからだ
78,ギャロップ,ギャロップ(通常),Rapidash,ほのお,,65,100,70,80,80,105,にげあし,もらいび,*ほのおのからだ
79,ヤドン,ヤドン(通常),Slowpoke,みず,エスパー,90,65,65,40,40,15,どんかん,マイペース,*さいせいりょく
79,ヤドン,ヤドン(ガラルのすがた),Slowpoke,エスパー,,90,65,65,40,40,15,くいしんぼう,マイペース,*さいせいりょく
80,ヤドラン,ヤドラン(ヤドラン),Slowbro,みず,エスパー,95,75,110,100,80,30,どんかん,マイペース,*さいせいりょく
80,ヤドラン,ヤドラン(ガラルのすがた),Slowbro,どく,エスパー,95,100,95,100,70,30,クイックドロウ,マイペース,*さいせいりょく
81,コイル,コイル,Magnemite,でんき,はがね,25,35,70,95,55,45,じりょく,がんじょう,*アナライズ
82,レアコイル,レアコイル,Magneton,でんき,はがね,50,60,95,120,70,70,じりょく,がんじょう,*アナライズ
84,ドードー,ドードー,Doduo,ノーマル,ひこう,35,85,45,35,35,75,にげあし,はやおき,*ちどりあし
85,ドードリオ,ドードリオ,Dodrio,ノーマル,ひこう,60,110,70,60,60,110(第6世代は100),にげあし,はやおき,*ちどりあし
86,パウワウ,パウワウ,Seel,みず,,65,45,55,45,70,45,あついしぼう,うるおいボディ,*アイスボディ
87,ジュゴン,ジュゴン,Dewgong,みず,こおり,90,70,80,70,95,70,あついしぼう,うるおいボディ,*アイスボディ
88,ベトベター,ベトベター(通常),Grimer,どく,,80,80,50,40,50,25,あくしゅう,ねんちゃく,*どくしゅ
88,ベトベター,ベトベター(アローラのすがた),Grimer,どく,あく,80,80,50,40,50,25,どくしゅ,くいしんぼう,*かがくのちから
89,ベトベトン,ベトベトン(通常),Muk,どく,,105,105,75,65,100,50,あくしゅう,ねんちゃく,*どくしゅ
89,ベトベトン,ベトベトン(アローラのすがた),Muk,どく,あく,105,105,75,65,100,50,どくしゅ,くいしんぼう,*かがくのちから
96,スリープ,スリープ,Drowzee,エスパー,,60,48,45,43,90,42,ふみん,よちむ,*せいしんりょく
97,スリーパー,スリーパー,Hypno,エスパー,,85,73,70,73,115,67,ふみん,よちむ,*せいしんりょく
100,ビリリダマ,ビリリダマ,Voltorb,でんき,,40,30,50,55,55,100,ぼうおん,せいでんき,*ゆうばく
101,マルマイン,マルマイン,Electrode,でんき,,60,50,70,80,80,150(第6世代は140),ぼうおん,せいでんき,*ゆうばく
102,タマタマ,タマタマ,Exeggcute,くさ,エスパー,60,40,80,60,45,40,ようりょくそ,,*しゅうかく
103,ナッシー,ナッシー(通常),Exeggutor,くさ,エスパー,95,95,85,125,75,55,ようりょくそ,,*しゅうかく
103,ナッシー,ナッシー(アローラのすがた),Exeggutor,くさ,ドラゴン,95,105,85,125,75,45,おみとおし,,*しゅうかく
104,カラカラ,カラカラ,Cubone,じめん,,50,50,95,40,50,35,いしあたま,ひらいしん,*カブトアーマー
105,ガラガラ,ガラガラ(通常),Marowak,じめん,,60,80,110,50,80,45,いしあたま,ひらいしん,*カブトアーマー
105,ガラガラ,ガラガラ(アローラのすがた),Marowak,ほのお,ゴースト,60,80,110,50,80,45,のろわれボディ,ひらいしん,*いしあたま
108,ベロリンガ,ベロリンガ,Lickitung,ノーマル,,90,55,75,60,75,30,マイペース,どんかん,*ノーてんき
113,ラッキー,ラッキー,Chansey,ノーマル,,250,5,5,35,105,50,しぜんかいふく,てんのめぐみ,*いやしのこころ
114,モンジャラ,モンジャラ,Tangela,くさ,,65,55,115,100,40,60,ようりょくそ,リーフガード,*さいせいりょく
115,ガルーラ,ガルーラ,Kangaskhan,ノーマル,,105,95,80,40,80,90,はやおき,きもったま,*せいしんりょく
116,タッツー,タッツー,Horsea,みず,,30,40,70,70,25,60,すいすい,スナイパー,*しめりけ
117,シードラ,シードラ,Seadra,みず,,55,65,95,95,45,85,どくのトゲ,スナイパー,*しめりけ
120,ヒトデマン,ヒトデマン,Staryu,みず,,30,45,55,70,55,85,はっこう,しぜんかいふく,*アナライズ
121,スターミー,スターミー,Starmie,みず,エスパー,60,75,85,100,85,115,はっこう,しぜんかいふく,*アナライズ
123,ストライク,ストライク,Scyther,むし,ひこう,70,110,80,55,80,105,むしのしらせ,テクニシャン,*ふくつのこころ
124,ルージュラ,ルージュラ,Jynx,こおり,エスパー,65,50,35,115,95,95,どんかん,よちむ,*かんそうはだ
125,エレブー,エレブー,Electabuzz,でんき,,65,83,57,95,85,105,せいでんき,,*やるき
126,ブーバー,ブーバー,Magmar,ほのお,,65,95,57,100,85,93,ほのおのからだ,,*やるき
127,カイロス,カイロス,Pinsir,むし,,65,125,100,55,70,85,かいりきバサミ,かたやぶり,*じしんかじょう
128,ケンタロス,ケンタロス,Tauros,ノーマル,,75,100,95,40,70,110,いかく,いかりのつぼ,*ちからずく
137,ポリゴン,ポリゴン,Porygon,ノーマル,,65,60,70,85,75,40,トレース,ダウンロード,*アナライズ
138,オムナイト,オムナイト,Omanyte,いわ,みず,35,40,100,90,55,35,すいすい,シェルアーマー,*くだけるよろい
139,オムスター,オムスター,Omastar,いわ,みず,70,60,125,115,70,55,すいすい,シェルアーマー,*くだけるよろい
140,カブト,カブト,Kabuto,いわ,みず,30,80,90,55,45,55,すいすい,カブトアーマー,*くだけるよろい
141,カブトプス,カブトプス,Kabutops,いわ,みず,60,115,105,65,70,80,すいすい,カブトアーマー,*くだけるよろい
142,プテラ,プテラ,Aerodactyl,いわ,ひこう,80,105,65,60,75,130,いしあたま,プレッシャー,*きんちょうかん
144,フリーザー,フリーザー(通常),Articuno,こおり,ひこう,90,85,100,95,125,85,プレッシャー,,*ゆきがくれ
144,フリーザー,フリーザー(ガラルのすがた),Articuno,エスパー,ひこう,90,85,85,125,100,95,かちき,,
145,サンダー,サンダー(通常),Zapdos,でんき,ひこう,90,90,85,125,90,100,プレッシャー,,*せいでんき
145,サンダー,サンダー(ガラルのすがた),Zapdos,かくとう,ひこう,90,125,90,85,90,100,まけんき,,
146,ファイヤー,ファイヤー(通常),Moltres,ほのお,ひこう,90,100,90,125,85,90,プレッシャー,,*ほのおのからだ
146,ファイヤー,ファイヤー(ガラルのすがた),Moltres,あく,ひこう,90,85,90,100,125,90,ぎゃくじょう,,
147,ミニリュウ,ミニリュウ,Dratini,ドラゴン,,41,64,45,50,50,50,だっぴ,,*ふしぎなうろこ
148,ハクリュー,ハクリュー,Dragonair,ドラゴン,,61,84,65,70,70,70,だっぴ,,*ふしぎなうろこ
149,カイリュー,カイリュー,Dragonite,ドラゴン,ひこう,91,134,95,100,100,80,せいしんりょく,,*マルチスケイル
150,ミュウツー,ミュウツー,Mewtwo,エスパー,,106,110,90,154,90,130,プレッシャー,,*きんちょうかん
151,ミュウ,ミュウ,Mew,エスパー,,100,100,100,100,100,100,シンクロ,,
152,チコリータ,チコリータ,Chikorita,くさ,,45,49,65,49,65,45,しんりょく,,*リーフガード
153,ベイリーフ,ベイリーフ,Bayleef,くさ,,60,62,80,63,80,60,しんりょく,,*リーフガード
154,メガニウム,メガニウム,Meganium,くさ,,80,82,100,83,100,80,しんりょく,,*リーフガード
155,ヒノアラシ,ヒノアラシ,Cyndaquil,ほのお,,39,52,43,60,50,65,もうか,,*もらいび
156,マグマラシ,マグマラシ,Quilava,ほのお,,58,64,58,80,65,80,もうか,,*もらいび
157,バクフーン,バクフーン,Typhlosion,ほのお,,78,84,78,109,85,100,もうか,,*もらいび
158,ワニノコ,ワニノコ,Totodile,みず,,50,65,64,44,48,43,げきりゅう,,*ちからずく
159,アリゲイツ,アリゲイツ,Croconaw,みず,,65,80,80,59,63,58,げきりゅう,,*ちからずく
160,オーダイル,オーダイル,Feraligatr,みず,,85,105,100,79,83,78,げきりゅう,,*ちからずく
161,オタチ,オタチ,Sentret,ノーマル,,35,46,34,35,45,20,にげあし,するどいめ,*おみとおし
162,オオタチ,オオタチ,Furret,ノーマル,,85,76,64,45,55,90,にげあし,するどいめ,*おみとおし
165,レディバ,レディバ,Ledyba,むし,ひこう,40,20,30,40,80,55,むしのしらせ,はやおき,*びびり
166,レディアン,レディアン,Ledian,むし,ひこう,55,35,50,55,110,85,むしのしらせ,はやおき,*てつのこぶし
167,イトマル,イトマル,Spinarak,むし,どく,40,60,40,40,40,30,むしのしらせ,ふみん,*スナイパー
168,アリアドス,アリアドス,Ariados,むし,どく,70,90,70,60,70(第6世代は60),40,むしのしらせ,ふみん,*スナイパー
169,クロバット,クロバット,Crobat,どく,ひこう,85,90,80,70,80,130,せいしんりょく,,*すりぬけ
174,ププリン,ププリン,Igglybuff,ノーマル,フェアリー,90,30,15,40,20,15,メロメロボディ,かちき,*フレンドガード
179,メリープ,メリープ,Mareep,でんき,,55,40,40,65,45,35,せいでんき,,*プラス
180,モココ,モココ,Flaaffy,でんき,,70,55,55,80,60,45,せいでんき,,*プラス
181,デンリュウ,デンリュウ,Ampharos,でんき,,90,75,85,115,90,55,せいでんき,,*プラス
183,マリル,マリル,Marill,みず,フェアリー,70,20,50,20,50,40,あついしぼう,ちからもち,*そうしょく
184,マリルリ,マリルリ,Azumarill,みず,フェアリー,100,50,80,60,80,50,あついしぼう,ちからもち,*そうしょく
186,ニョロトノ,ニョロトノ,Politoed,みず,,90,75,75,90,100,70,ちょすい,しめりけ,*あめふらし
187,ハネッコ,ハネッコ,Hoppip,くさ,ひこう,35,35,40,35,55,50,ようりょくそ,リーフガード,*すりぬけ
188,ポポッコ,ポポッコ,Skiploom,くさ,ひこう,55,45,50,45,65,80,ようりょくそ,リーフガード,*すりぬけ
189,ワタッコ,ワタッコ,Jumpluff,くさ,ひこう,75,55,70,55,95,110,ようりょくそ,リーフガード,*すりぬけ
190,エイパム,エイパム,Aipom,ノーマル,,55,70,55,40,55,85,にげあし,ものひろい,*スキルリンク
191,ヒマナッツ,ヒマナッツ,Sunkern,くさ,,30,30,30,30,30,30,ようりょくそ,サンパワー,*はやおき
192,キマワリ,キマワリ,Sunflora,くさ,,75,75,55,105,85,30,ようりょくそ,サンパワー,*はやおき
193,ヤンヤンマ,ヤンヤンマ,Yanma,むし,ひこう,65,65,45,75,45,95,かそく,ふくがん,*おみとおし
198,ヤミカラス,ヤミカラス,Murkrow,あく,ひこう,60,85,42,85,42,91,ふみん,きょううん,*いたずらごころ
199,ヤドキング,ヤドキング(通常),Slowking,みず,エスパー,95,75,80,100,110,30,どんかん,マイペース,*さいせいりょく
199,ヤドキング,ヤドキング(ガラルのすがた),Slowking,どく,エスパー,95,65,80,110,110,30,きみょうなくすり,マイペース,*さいせいりょく
200,ムウマ,ムウマ,Misdreavus,ゴースト,,60,60,60,85,85,85,ふゆう,,
201,アンノーン,アンノーン,Unown,エスパー,,48,72,48,72,48,48,ふゆう,,
203,キリンリキ,キリンリキ,Girafarig,ノーマル,エスパー,70,80,65,90,65,85,せいしんりょく,はやおき,*そうしょく
204,クヌギダマ,クヌギダマ,Pineco,むし,,50,65,90,35,35,15,がんじょう,,*ぼうじん
205,フォレトス,フォレトス,Forretress,むし,はがね,75,90,140,60,60,40,がんじょう,,*ぼうじん
206,ノコッチ,ノコッチ,Dunsparce,ノーマル,,100,70,70,65,65,45,てんのめぐみ,にげあし,*びびり
207,グライガー,グライガー,Gligar,じめん,ひこう,65,75,105,35,65,85,かいりきバサミ,すながくれ,*めんえき
209,ブルー,ブルー,Snubbull,フェアリー,,60,80,50,40,40,30,いかく,にげあし,*びびり
210,グランブル,グランブル,Granbull,フェアリー,,90,120,75,60,60,45,いかく,はやあし,*びびり
212,ハッサム,ハッサム,Scizor,むし,はがね,70,130,100,55,80,65,むしのしらせ,テクニシャン,*ライトメタル
214,ヘラクロス,ヘラクロス,Heracross,むし,かくとう,80,125,75,40,95,85,むしのしらせ,こんじょう,*じしんかじょう
216,ヒメグマ,ヒメグマ,Teddiursa,ノーマル,,60,80,50,50,50,40,ものひろい,はやあし,*みつあつめ
217,リングマ,リングマ,Ursaring,ノーマル,,90,130,75,75,75,55,こんじょう,はやあし,*きんちょうかん
218,マグマッグ,マグマッグ,Slugma,ほのお,,40,40,40,70,40,20,マグマのよろい,ほのおのからだ,*くだけるよろい
219,マグカルゴ,マグカルゴ,Magcargo,ほのお,いわ,60(第6世代は50),50,120,90(第6世代は80),80,30,マグマのよろい,ほのおのからだ,*くだけるよろい
227,エアームド,エアームド,Skarmory,はがね,ひこう,65,80,140,40,70,70,するどいめ,がんじょう,*くだけるよろい
228,デルビル,デルビル,Houndour,あく,ほのお,45,60,30,80,50,65,はやおき,もらいび,*きんちょうかん
229,ヘルガー,ヘルガー,Houndoom,あく,ほのお,75,90,50,110,80,95,はやおき,もらいび,*きんちょうかん
230,キングドラ,キングドラ,Kingdra,みず,ドラゴン,75,95,95,95,95,85,すいすい,スナイパー,*しめりけ
231,ゴマゾウ,ゴマゾウ,Phanpy,じめん,,90,60,60,40,40,40,ものひろい,,*すながくれ
232,ドンファン,ドンファン,Donphan,じめん,,90,120,120,60,60,50,がんじょう,,*すながくれ
233,ポリゴン2,ポリゴン2,Porygon2,ノーマル,,85,80,90,105,95,60,トレース,ダウンロード,*アナライズ
234,オドシシ,オドシシ,Stantler,ノーマル,,73,95,62,85,65,85,いかく,おみとおし,*そうしょく
235,ドーブル,ドーブル,Smeargle,ノーマル,,55,20,35,20,45,75,マイペース,テクニシャン,*ムラっけ
238,ムチュール,ムチュール,Smoochum,こおり,エスパー,45,30,15,85,65,65,どんかん,よちむ,*うるおいボディ
239,エレキッド,エレキッド,Elekid,でんき,,45,63,37,65,55,95,せいでんき,,*やるき
240,ブビィ,ブビィ,Magby,ほのお,,45,75,37,70,55,83,ほのおのからだ,,*やるき
241,ミルタンク,ミルタンク,Miltank,ノーマル,,95,80,105,40,70,100,あついしぼう,きもったま,*そうしょく
242,ハピナス,ハピナス,Blissey,ノーマル,,255,10,10,75,135,55,しぜんかいふく,てんのめぐみ,*いやしのこころ
243,ライコウ,ライコウ,Raikou,でんき,,90,85,75,115,100,115,プレッシャー,,*せいしんりょく
244,エンテイ,エンテイ,Entei,ほのお,,115,115,85,90,75,100,プレッシャー,,*せいしんりょく
245,スイクン,スイクン,Suicune,みず,,100,75,115,90,115,85,プレッシャー,,*せいしんりょく
249,ルギア,ルギア,Lugia,エスパー,ひこう,106,90,130,90,154,110,プレッシャー,,*マルチスケイル
250,ホウオウ,ホウオウ,Ho-Oh,ほのお,ひこう,106,130,90,110,154,90,プレッシャー,,*さいせいりょく
251,セレビィ,セレビィ,Celebi,エスパー,くさ,100,100,100,100,100,100,しぜんかいふく,,
252,キモリ,キモリ,Treecko,くさ,,40,45,35,65,55,70,しんりょく,,*かるわざ
253,ジュプトル,ジュプトル,Grovyle,くさ,,50,65,45,85,65,95,しんりょく,,*かるわざ
254,ジュカイン,ジュカイン,Sceptile,くさ,,70,85,65,105,85,120,しんりょく,,*かるわざ
255,アチャモ,アチャモ,Torchic,ほのお,,45,60,40,70,50,45,もうか,,*かそく
256,ワカシャモ,ワカシャモ,Combusken,ほのお,かくとう,60,85,60,85,60,55,もうか,,*かそく
257,バシャーモ,バシャーモ,Blaziken,ほのお,かくとう,80,120,70,110,70,80,もうか,,*かそく
258,ミズゴロウ,ミズゴロウ,Mudkip,みず,,50,70,50,50,50,40,げきりゅう,,*しめりけ
259,ヌマクロー,ヌマクロー,Marshtomp,みず,じめん,70,85,70,60,70,50,げきりゅう,,*しめりけ
260,ラグラージ,ラグラージ,Swampert,みず,じめん,100,110,90,85,90,60,げきりゅう,,*しめりけ
261,ポチエナ,ポチエナ,Poochyena,あく,,35,55,35,30,30,35,にげあし,はやあし,*びびり
262,グラエナ,グラエナ,Mightyena,あく,,70,90,70,60,60,70,いかく,はやあし,*じしんかじょう
263,ジグザグマ,ジグザグマ(通常),Zigzagoon,ノーマル,,38,30,41,30,41,60,ものひろい,くいしんぼう,*はやあし
264,マッスグマ,マッスグマ(通常),Linoone,ノーマル,,78,70,61,50,61,100,ものひろい,くいしんぼう,*はやあし
265,ケムッソ,ケムッソ,Wurmple,むし,,45,45,35,20,30,20,りんぷん,,*にげあし
266,カラサリス,カラサリス,Silcoon,むし,,50,35,55,25,25,15,だっぴ,,
267,アゲハント,アゲハント,Beautifly,むし,ひこう,60,70,50,100,50,65,むしのしらせ,,*とうそうしん
268,マユルド,マユルド,Cascoon,むし,,50,35,55,25,25,15,だっぴ,,
269,ドクケイル,ドクケイル,Dustox,むし,どく,60,50,70,50,90,65,りんぷん,,*ふくがん
276,スバメ,スバメ,Taillow,ノーマル,ひこう,40,55,30,30,30,85,こんじょう,,*きもったま
277,オオスバメ,オオスバメ,Swellow,ノーマル,ひこう,60,85,60,75(第6世代は50),50,125,こんじょう,,*きもったま
283,アメタマ,アメタマ,Surskit,むし,みず,40,30,32,50,52,65,すいすい,,*あめうけざら
284,アメモース,アメモース,Masquerain,むし,ひこう,70,60,62,100(第6世代は80),82,80(第6世代は60),いかく,,*きんちょうかん
285,キノココ,キノココ,Shroomish,くさ,,60,40,60,40,60,35,ほうし,ポイズンヒール,*はやあし
286,キノガッサ,キノガッサ,Breloom,くさ,かくとう,60,130,80,60,60,70,ほうし,ポイズンヒール,*テクニシャン
287,ナマケロ,ナマケロ,Slakoth,ノーマル,,60,60,60,35,35,30,なまけ,,
288,ヤルキモノ,ヤルキモノ,Vigoroth,ノーマル,,80,80,80,55,55,90,やるき,,
289,ケッキング,ケッキング,Slaking,ノーマル,,150,160,100,95,65,100,なまけ,,
293,ゴニョニョ,ゴニョニョ,Whismur,ノーマル,,64,51,23,51,23,28,ぼうおん,,*びびり
294,ドゴーム,ドゴーム,Loudred,ノーマル,,84,71,43,71,43,48,ぼうおん,,*きもったま
295,バクオング,バクオング,Exploud,ノーマル,,104,91,63,91,73,68,ぼうおん,,*きもったま
296,マクノシタ,マクノシタ,Makuhita,かくとう,,72,60,30,20,30,25,あついしぼう,こんじょう,*ちからずく
297,ハリテヤマ,ハリテヤマ,Hariyama,かくとう,,144,120,60,40,60,50,あついしぼう,こんじょう,*ちからずく
298,ルリリ,ルリリ,Azurill,ノーマル,フェアリー,50,20,40,20,40,20,あついしぼう,ちからもち,*そうしょく
299,ノズパス,ノズパス,Nosepass,いわ,,30,45,135,45,90,30,がんじょう,じりょく,*すなのちから
300,エネコ,エネコ,Skitty,ノーマル,,50,45,45,35,35,50,メロメロボディ,ノーマルスキン,*ミラクルスキン
301,エネコロロ,エネコロロ,Delcatty,ノーマル,,70,65,65,55,55,90(第6世代は70),メロメロボディ,ノーマルスキン,*ミラクルスキン
304,ココドラ,ココドラ,Aron,はがね,いわ,50,70,100,40,40,30,がんじょう,いしあたま,*ヘヴィメタル
305,コドラ,コドラ,Lairon,はがね,いわ,60,90,140,50,50,40,がんじょう,いしあたま,*ヘヴィメタル
306,ボスゴドラ,ボスゴドラ,Aggron,はがね,いわ,70,110,180,60,60,50,がんじょう,いしあたま,*ヘヴィメタル
307,アサナン,アサナン,Meditite,かくとう,エスパー,30,40,55,40,55,60,ヨガパワー,,*テレパシー
308,チャーレム,チャーレム,Medicham,かくとう,エスパー,60,60,75,60,75,80,ヨガパワー,,*テレパシー
311,プラスル,プラスル,Plusle,でんき,,60,50,40,85,75,95,プラス,,*ひらいしん
312,マイナン,マイナン,Minun,でんき,,60,40,50,75,85,95,マイナス,,*ちくでん
313,バルビート,バルビート,Volbeat,むし,,65,73,75(第6世代は55),47,85(第6世代は75),85,はっこう,むしのしらせ,*いたずらごころ
314,イルミーゼ,イルミーゼ,Illumise,むし,,65,47,75(第6世代は55),73,85(第6世代は75),85,どんかん,いろめがね,*いたずらごころ
316,ゴクリン,ゴクリン,Gulpin,どく,,70,43,53,43,53,40,ヘドロえき,ねんちゃく,*くいしんぼう
317,マルノーム,マルノーム,Swalot,どく,,100,73,83,73,83,55,ヘドロえき,ねんちゃく,*くいしんぼう
318,キバニア,キバニア,Carvanha,みず,あく,45,90,20,65,20,65,さめはだ,,*かそく
319,サメハダー,サメハダー,Sharpedo,みず,あく,70,120,40,95,40,95,さめはだ,,*かそく
322,ドンメル,ドンメル,Numel,ほのお,じめん,60,60,40,65,45,35,どんかん,たんじゅん,*マイペース
323,バクーダ,バクーダ,Camerupt,ほのお,じめん,70,100,70,105,75,40,マグマのよろい,ハードロック,*いかりのつぼ
325,バネブー,バネブー,Spoink,エスパー,,60,25,35,70,80,60,あついしぼう,マイペース,*くいしんぼう
326,ブーピッグ,ブーピッグ,Grumpig,エスパー,,80,45,65,90,110,80,あついしぼう,マイペース,*くいしんぼう
327,パッチール,パッチール,Spinda,ノーマル,,60,60,60,60,60,60,マイペース,ちどりあし,*あまのじゃく
331,サボネア,サボネア,Cacnea,くさ,,50,85,40,85,40,35,すながくれ,,*ちょすい
332,ノクタス,ノクタス,Cacturne,くさ,あく,70,115,60,115,60,55,すながくれ,,*ちょすい
333,チルット,チルット,Swablu,ノーマル,ひこう,45,40,60,40,75,50,しぜんかいふく,,*ノーてんき
334,チルタリス,チルタリス,Altaria,ドラゴン,ひこう,75,70,90,70,105,80,しぜんかいふく,,*ノーてんき
335,ザングース,ザングース,Zangoose,ノーマル,,73,115,60,60,60,90,めんえき,,*どくぼうそう
336,ハブネーク,ハブネーク,Seviper,どく,,73,100,60,100,60,65,だっぴ,,*すりぬけ
345,リリーラ,リリーラ,Lileep,いわ,くさ,66,41,77,61,87,23,きゅうばん,,*よびみず
346,ユレイドル,ユレイドル,Cradily,いわ,くさ,86,81,97,81,107,43,きゅうばん,,*よびみず
347,アノプス,アノプス,Anorith,いわ,むし,45,95,50,40,50,75,カブトアーマー,,*すいすい
348,アーマルド,アーマルド,Armaldo,いわ,むし,75,125,100,70,80,45,カブトアーマー,,*すいすい
351,ポワルン,ポワルン,Castform,ノーマル,,70,70,70,70,70,70,てんきや,,
352,カクレオン,カクレオン,Kecleon,ノーマル,,60,90,70,60,120,40,へんしょく,,*へんげんじざい
353,カゲボウズ,カゲボウズ,Shuppet,ゴースト,,44,75,35,63,33,45,ふみん,おみとおし,*のろわれボディ
354,ジュペッタ,ジュペッタ,Banette,ゴースト,,64,115,65,83,63,65,ふみん,おみとおし,*のろわれボディ
357,トロピウス,トロピウス,Tropius,くさ,ひこう,99,68,83,72,87,51,ようりょくそ,サンパワー,*しゅうかく
358,チリーン,チリーン,Chimecho,エスパー,,75(第6世代は65),50,80(第6世代は70),95,90(第6世代は80),65,ふゆう,,
359,アブソル,アブソル,Absol,あく,,65,130,60,75,60,75,プレッシャー,きょううん,*せいぎのこころ
363,タマザラシ,タマザラシ,Spheal,こおり,みず,70,40,50,55,50,25,あついしぼう,アイスボディ,*どんかん
364,トドグラー,トドグラー,Sealeo,こおり,みず,90,60,70,75,70,45,あついしぼう,アイスボディ,*どんかん
365,トドゼルガ,トドゼルガ,Walrein,こおり,みず,110,80,90,95,90,65,あついしぼう,アイスボディ,*どんかん
366,パールル,パールル,Clamperl,みず,,35,64,85,74,55,32,シェルアーマー,,*びびり
367,ハンテール,ハンテール,Huntail,みず,,55,104,105,94,75,52,すいすい,,*みずのベール
368,サクラビス,サクラビス,Gorebyss,みず,,55,84,105,114,75,52,すいすい,,*うるおいボディ
369,ジーランス,ジーランス,Relicanth,みず,いわ,100,90,130,45,65,55,すいすい,いしあたま,*がんじょう
370,ラブカス,ラブカス,Luvdisc,みず,,43,30,55,40,65,97,すいすい,,*うるおいボディ
371,タツベイ,タツベイ,Bagon,ドラゴン,,45,75,60,40,30,50,いしあたま,,*ちからずく
372,コモルー,コモルー,Shelgon,ドラゴン,,65,95,100,60,50,50,いしあたま,,*ぼうじん
373,ボーマンダ,ボーマンダ,Salamence,ドラゴン,ひこう,95,135,80,110,80,100,いかく,,*じしんかじょう
374,ダンバル,ダンバル,Beldum,はがね,エスパー,40,55,80,35,60,30,クリアボディ,,*ライトメタル
375,メタング,メタング,Metang,はがね,エスパー,60,75,100,55,80,50,クリアボディ,,*ライトメタル
376,メタグロス,メタグロス,Metagross,はがね,エスパー,80,135,130,95,90,70,クリアボディ,,*ライトメタル
377,レジロック,レジロック,Regirock,いわ,,80,100,200,50,100,50,クリアボディ,,*がんじょう
